biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
"CRP, D-dimer, H-FABP, Procalcitonin",4,0.5,0.15,41.0,20.0,50.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, Myoglobin, Procalcitonin",4,0.5,0.15,39.5,20.0,50.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Myoglobin",4,0.3333333333333333,0.3,39.0,20.0,85.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Procalcitonin",4,0.3333333333333333,0.3,53.5,20.0,95.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, Procalcitonin",4,0.3333333333333333,0.3,52.0,20.0,95.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, Procalcitonin",4,0.3333333333333333,0.15,42.5,20.0,55.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, H-FABP, NT-proBNP",4,0.3333333333333333,0.3,44.5,20.0,80.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, NT-proBNP",4,0.3333333333333333,0.3,43.0,20.0,80.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, NT-proBNP, Procalcitonin",4,0.3333333333333333,0.3,57.5,20.0,90.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, NT-proBNP",4,0.3333333333333333,0.2,33.5,15.0,40.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, NT-proBNP, Procalcitonin",4,0.3333333333333333,0.2,48.0,20.0,50.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, NT-proBNP, Procalcitonin",4,0.3333333333333333,0.2,46.5,20.0,50.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, NT-proBNP",4,0.16666666666666666,0.3,46.0,20.0,85.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, NT-proBNP, Procalcitonin",4,0.16666666666666666,0.3,60.5,20.0,95.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Myoglobin, NT-proBNP, Procalcitonin",4,0.16666666666666666,0.3,59.0,20.0,95.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, NT-proBNP, Procalcitonin",4,0.16666666666666666,0.2,49.5,20.0,55.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, Myoglobin",4,0.16666666666666666,0.3,37.0,20.0,75.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, Procalcitonin",4,0.16666666666666666,0.3,51.5,20.0,85.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, Procalcitonin",4,0.16666666666666666,0.3,50.0,20.0,85.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, Procalcitonin",4,0.16666666666666666,0.15,40.5,20.0,45.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, Procalcitonin",4,0.0,0.3,53.0,20.0,90.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, NT-proBNP, hs-cTnI",5,0.8333333333333334,0.3,53.5,20.0,105.0,5,Pneumothorax (tension),False
"CRP, D-dimer, H-FABP, NT-proBNP, hs-cTnI",5,0.8333333333333334,0.2,44.0,15.0,65.0,5,Pneumothorax (tension),False
"CRP, D-dimer, Myoglobin, NT-proBNP, hs-cTnI",5,0.8333333333333334,0.2,42.5,15.0,65.0,5,Pneumothorax (tension),False
"CRP, D-dimer, NT-proBNP, Procalcitonin, hs-cTnI",5,0.8333333333333334,0.2,57.0,20.0,75.0,5,Pneumothorax (tension),False
"Copeptin, D-dimer, H-FABP, NT-proBNP, hs-cTnI",5,0.6666666666666666,0.3,56.5,20.0,110.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, NT-proBNP, hs-cTnI",5,0.6666666666666666,0.3,55.0,20.0,110.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, NT-proBNP, Procalcitonin, hs-cTnI",5,0.6666666666666666,0.3,69.5,20.0,120.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",5,0.6666666666666666,0.2,45.5,15.0,70.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",5,0.6666666666666666,0.2,60.0,20.0,80.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",5,0.6666666666666666,0.2,58.5,20.0,80.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, hs-cTnI",5,0.6666666666666666,0.3,47.5,20.0,100.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Myoglobin, hs-cTnI",5,0.6666666666666666,0.3,46.0,20.0,100.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Procalcitonin, hs-cTnI",5,0.6666666666666666,0.3,60.5,20.0,110.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Myoglobin, hs-cTnI",5,0.6666666666666666,0.15,36.5,15.0,60.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Procalcitonin, hs-cTnI",5,0.6666666666666666,0.15,51.0,20.0,70.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, Myoglobin, Procalcitonin, hs-cTnI",5,0.6666666666666666,0.15,49.5,20.0,70.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Myoglobin, hs-cTnI",5,0.5,0.3,49.0,20.0,105.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Procalcitonin, hs-cTnI",5,0.5,0.3,63.5,20.0,115.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, Procalcitonin, hs-cTnI",5,0.5,0.3,62.0,20.0,115.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",5,0.5,0.15,52.5,20.0,75.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, H-FABP, NT-proBNP, hs-cTnI",5,0.5,0.3,54.5,20.0,100.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, NT-proBNP, hs-cTnI",5,0.5,0.3,53.0,20.0,100.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, NT-proBNP, Procalcitonin, hs-cTnI",5,0.5,0.3,67.5,20.0,110.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",5,0.5,0.2,43.5,15.0,60.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",5,0.5,0.2,58.0,20.0,70.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",5,0.5,0.2,56.5,20.0,70.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",5,0.3333333333333333,0.3,56.0,20.0,105.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",5,0.3333333333333333,0.3,70.5,20.0,115.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",5,0.3333333333333333,0.3,69.0,20.0,115.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",5,0.3333333333333333,0.2,59.5,20.0,75.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, Myoglobin, hs-cTnI",5,0.3333333333333333,0.3,47.0,20.0,95.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, Procalcitonin, hs-cTnI",5,0.3333333333333333,0.3,61.5,20.0,105.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, Procalcitonin, hs-cTnI",5,0.3333333333333333,0.3,60.0,20.0,105.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",5,0.3333333333333333,0.15,50.5,20.0,65.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",5,0.16666666666666666,0.3,63.0,20.0,110.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, H-FABP, NT-proBNP",5,0.6666666666666666,0.3,51.5,20.0,95.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Myoglobin, NT-proBNP",5,0.6666666666666666,0.3,50.0,20.0,95.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, NT-proBNP, Procalcitonin",5,0.6666666666666666,0.3,64.5,20.0,105.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Myoglobin, NT-proBNP",5,0.6666666666666666,0.2,40.5,15.0,55.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, NT-proBNP, Procalcitonin",5,0.6666666666666666,0.2,55.0,20.0,65.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, Myoglobin, NT-proBNP, Procalcitonin",5,0.6666666666666666,0.2,53.5,20.0,65.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP",5,0.5,0.3,53.0,20.0,100.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, NT-proBNP, Procalcitonin",5,0.5,0.3,67.5,20.0,110.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, NT-proBNP, Procalcitonin",5,0.5,0.3,66.0,20.0,110.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",5,0.5,0.2,56.5,20.0,70.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin",5,0.5,0.3,44.0,20.0,90.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Procalcitonin",5,0.5,0.3,58.5,20.0,100.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Myoglobin, Procalcitonin",5,0.5,0.3,57.0,20.0,100.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Myoglobin, Procalcitonin",5,0.5,0.15,47.5,20.0,60.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Myoglobin, Procalcitonin",5,0.3333333333333333,0.3,60.0,20.0,105.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, H-FABP, Myoglobin, NT-proBNP",5,0.3333333333333333,0.3,51.0,20.0,90.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, NT-proBNP, Procalcitonin",5,0.3333333333333333,0.3,65.5,20.0,100.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, NT-proBNP, Procalcitonin",5,0.3333333333333333,0.3,64.0,20.0,100.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",5,0.3333333333333333,0.2,54.5,20.0,60.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",5,0.16666666666666666,0.3,67.0,20.0,105.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, Myoglobin, Procalcitonin",5,0.16666666666666666,0.3,58.0,20.0,95.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, H-FABP, NT-proBNP, hs-cTnI",6,0.8333333333333334,0.3,61.5,20.0,115.0,5,Pneumothorax (tension),False
"CRP, Copeptin, D-dimer, Myoglobin, NT-proBNP, hs-cTnI",6,0.8333333333333334,0.3,60.0,20.0,115.0,5,Pneumothorax (tension),False
"CRP, Copeptin, D-dimer, NT-proBNP, Procalcitonin, hs-cTnI",6,0.8333333333333334,0.3,74.5,20.0,125.0,5,Pneumothorax (tension),False
"CRP, D-dimer, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",6,0.8333333333333334,0.2,50.5,15.0,75.0,5,Pneumothorax (tension),False
"CRP, D-dimer, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",6,0.8333333333333334,0.2,65.0,20.0,85.0,5,Pneumothorax (tension),False
"CRP, D-dimer, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",6,0.8333333333333334,0.2,63.5,20.0,85.0,5,Pneumothorax (tension),False
"Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",6,0.6666666666666666,0.3,63.0,20.0,120.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",6,0.6666666666666666,0.3,77.5,20.0,130.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",6,0.6666666666666666,0.3,76.0,20.0,130.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",6,0.6666666666666666,0.2,66.5,20.0,90.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, hs-cTnI",6,0.6666666666666666,0.3,54.0,20.0,110.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Procalcitonin, hs-cTnI",6,0.6666666666666666,0.3,68.5,20.0,120.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Myoglobin, Procalcitonin, hs-cTnI",6,0.6666666666666666,0.3,67.0,20.0,120.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",6,0.6666666666666666,0.15,57.5,20.0,80.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",6,0.5,0.3,70.0,20.0,125.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",6,0.5,0.3,61.0,20.0,110.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",6,0.5,0.3,75.5,20.0,120.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",6,0.5,0.3,74.0,20.0,120.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",6,0.5,0.2,64.5,20.0,80.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",6,0.3333333333333333,0.3,77.0,20.0,125.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",6,0.3333333333333333,0.3,68.0,20.0,115.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP",6,0.6666666666666666,0.3,58.0,20.0,105.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, NT-proBNP, Procalcitonin",6,0.6666666666666666,0.3,72.5,20.0,115.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Myoglobin, NT-proBNP, Procalcitonin",6,0.6666666666666666,0.3,71.0,20.0,115.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",6,0.6666666666666666,0.2,61.5,20.0,75.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",6,0.5,0.3,74.0,20.0,120.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, Procalcitonin",6,0.5,0.3,65.0,20.0,110.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",6,0.3333333333333333,0.3,72.0,20.0,110.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP, hs-cTnI",7,0.8333333333333334,0.3,68.0,20.0,125.0,5,Pneumothorax (tension),False
"CRP, Copeptin, D-dimer, H-FABP, NT-proBNP, Procalcitonin, hs-cTnI",7,0.8333333333333334,0.3,82.5,20.0,135.0,5,Pneumothorax (tension),False
"CRP, Copeptin, D-dimer, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",7,0.8333333333333334,0.3,81.0,20.0,135.0,5,Pneumothorax (tension),False
"CRP, D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",7,0.8333333333333334,0.2,71.5,20.0,95.0,5,Pneumothorax (tension),False
"Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",7,0.6666666666666666,0.3,84.0,20.0,140.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, Procalcitonin, hs-cTnI",7,0.6666666666666666,0.3,75.0,20.0,130.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",7,0.5,0.3,82.0,20.0,130.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin",7,0.6666666666666666,0.3,79.0,20.0,125.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP, Myoglobin, NT-proBNP, Procalcitonin, hs-cTnI",8,0.8333333333333334,0.3,89.0,20.0,145.0,5,Pneumothorax (tension),False
