biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
"D-dimer, Procalcitonin, hs-cTnI",3,0.5,0.15,38.0,20.0,55.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, NT-proBNP, hs-cTnI",3,0.5,0.2,29.0,15.0,40.0,3,"Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, NT-proBNP, hs-cTnI",3,0.3333333333333333,0.3,41.5,20.0,85.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, NT-proBNP, hs-cTnI",3,0.3333333333333333,0.2,32.0,15.0,45.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, NT-proBNP, hs-cTnI",3,0.3333333333333333,0.2,30.5,15.0,45.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"NT-proBNP, Procalcitonin, hs-cTnI",3,0.3333333333333333,0.2,45.0,20.0,55.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, hs-cTnI",3,0.3333333333333333,0.3,32.5,20.0,75.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP, hs-cTnI",3,0.3333333333333333,0.15,23.0,15.0,35.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin, hs-cTnI",3,0.3333333333333333,0.15,21.5,15.0,35.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Procalcitonin, hs-cTnI",3,0.3333333333333333,0.15,36.0,20.0,45.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, hs-cTnI",3,0.16666666666666666,0.3,35.5,20.0,80.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
